customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,code,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,Hash,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
,Male,0,No,No,1,Yes,No,2514,Fiber optic,No,No,No,No,Yes,No,Month-to-month,GINMM,Yes,Electronic check,79.5,79.5,Yes
,Female,0,Yes,No,28,Yes,Yes,9891,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,NQDBD,No,Mailed check,25.55,672.2,No
6131-IUNXN,Female,0,Yes,Yes,19,Yes,No,6131,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,IUNXN,No,Mailed check,20.2,382.2,No
8548-AWOFC,Male,0,Yes,No,66,Yes,Yes,8548,DSL,No,No,No,Yes,No,Yes,Month-to-month,AWOFC,No,Electronic check,63.85,4264.6,No
9798-DRYDS,Female,0,Yes,Yes,17,Yes,Yes,9798,DSL,No,No,Yes,Yes,No,No,One year,DRYDS,Yes,Mailed check,61.95,1070.7,No
,Male,0,Yes,Yes,52,Yes,Yes,8532,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,UEFWH,No,Mailed check,25.75,1345.85,No
6296-DDOOR,Female,0,No,No,19,Yes,No,6296,DSL,No,Yes,No,No,Yes,No,One year,DDOOR,No,Electronic check,58.2,1045.25,No
7951-VRDVK,Female,0,No,No,36,Yes,No,7951,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,VRDVK,No,Bank transfer (automatic),85.85,3003.55,No
5931-FLJJF,Male,1,Yes,No,7,Yes,No,5931,Fiber optic,No,No,No,No,No,No,Month-to-month,FLJJF,Yes,Mailed check,70.1,467.55,Yes
4815-YOSUK,Male,0,Yes,Yes,72,Yes,Yes,4815,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,YOSUK,Yes,Credit card (automatic),104.9,7537.5,No
2659-VXMWZ,Male,0,Yes,Yes,67,Yes,Yes,2659,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,VXMWZ,Yes,Electronic check,111.3,7482.1,Yes
0380-NEAVX,Male,1,No,No,34,Yes,No,380,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,NEAVX,Yes,Electronic check,99.85,3343.15,No
3207-OYBWH,Male,1,Yes,No,57,Yes,Yes,3207,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,OYBWH,Yes,Bank transfer (automatic),95.25,5427.05,Yes
,Female,0,Yes,No,7,Yes,No,4285,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,GYRQC,Yes,Electronic check,86.25,587.1,Yes
,Female,1,Yes,No,1,Yes,Yes,7216,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,EWTRS,Yes,Electronic check,100.8,100.8,Yes
4365-MSDYN,Male,0,Yes,No,8,Yes,No,4365,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,MSDYN,Yes,Bank transfer (automatic),19.55,161.15,No
7036-TYDEC,Female,0,No,No,69,Yes,Yes,7036,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,TYDEC,No,Electronic check,104,7028.5,No
,Female,0,Yes,No,50,Yes,Yes,5802,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,ADBRC,Yes,Mailed check,104.4,5232.9,No
,Male,0,No,No,10,Yes,No,8076,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,FEZKJ,No,Mailed check,19.5,225.85,No
,Female,0,Yes,Yes,12,Yes,Yes,5197,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,YPYBZ,No,Credit card (automatic),25.25,274.7,No
8337-MSSXB,Female,0,No,No,14,Yes,No,8337,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,MSSXB,Yes,Electronic check,86.3,1180.95,Yes
4312-GVYNH,Female,0,Yes,No,70,No,No phone service,4312,DSL,Yes,No,Yes,Yes,No,Yes,Two year,GVYNH,Yes,Bank transfer (automatic),49.85,3370.2,No
,Female,1,No,No,64,Yes,Yes,8495,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,LJDFO,Yes,Bank transfer (automatic),108.95,7111.3,No
,Female,0,Yes,Yes,66,Yes,Yes,839,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,JTCUD,No,Credit card (automatic),89.9,5958.85,No
,Female,0,Yes,Yes,71,Yes,No,5494,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,WOZRZ,Yes,Credit card (automatic),82,5999.85,No
1302-UHBDD,Male,1,No,No,20,Yes,No,1302,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,UHBDD,No,Electronic check,89.95,1648.45,No
,Male,0,Yes,No,72,Yes,No,2234,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,EOFPT,Yes,Bank transfer (automatic),79.35,5753.25,No
8619-IJNDK,Female,0,Yes,Yes,71,Yes,No,8619,DSL,Yes,Yes,Yes,Yes,No,No,Two year,IJNDK,No,Credit card (automatic),64.05,4492.9,No
8378-LKJAF,Male,0,Yes,Yes,38,Yes,Yes,8378,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,LKJAF,Yes,Credit card (automatic),101.15,3956.7,No
8182-BJDSI,Female,0,No,No,28,Yes,Yes,8182,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,BJDSI,Yes,Electronic check,89.95,2625.55,Yes
,Male,1,Yes,No,17,Yes,No,2528,Fiber optic,No,Yes,No,No,No,No,Month-to-month,HFYZX,Yes,Electronic check,76.45,1233.4,Yes
,Male,0,No,No,33,No,No phone service,1153,DSL,No,Yes,No,No,Yes,No,One year,GNOLC,Yes,Electronic check,39.1,1309,No
3298-QEICA,Female,0,Yes,Yes,23,No,No phone service,3298,DSL,Yes,No,No,Yes,No,No,Two year,QEICA,No,Mailed check,34.6,813.45,No
,Male,0,Yes,Yes,58,Yes,No,788,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,DXBFY,Yes,Electronic check,19.55,1108.8,No
,Female,1,Yes,No,70,Yes,Yes,3597,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,YASZG,Yes,Bank transfer (automatic),104.45,7349.35,No
3496-LFSZU,Male,0,Yes,No,4,Yes,No,3496,Fiber optic,No,No,No,No,No,No,Month-to-month,LFSZU,No,Electronic check,70.5,294.2,No
5242-UOWHD,Male,0,Yes,Yes,45,Yes,No,5242,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,UOWHD,No,Mailed check,20.35,929.2,No
,Male,0,No,No,10,Yes,No,2482,Fiber optic,No,No,No,No,No,No,Month-to-month,CZGBB,Yes,Electronic check,70,740,Yes
6479-SZPLM,Male,0,Yes,Yes,36,Yes,No,6479,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,SZPLM,No,Credit card (automatic),19.45,754.5,No
8097-VBQTZ,Male,0,No,No,54,Yes,No,8097,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,VBQTZ,Yes,Mailed check,69.9,3883.3,No
4500-HKANN,Male,0,Yes,Yes,23,Yes,Yes,4500,DSL,No,Yes,No,Yes,No,No,Two year,HKANN,No,Mailed check,59.7,1414.2,No
9917-KWRBE,Female,0,Yes,Yes,41,Yes,Yes,9917,DSL,Yes,Yes,Yes,No,Yes,No,One year,KWRBE,Yes,Credit card (automatic),78.35,3211.2,No
,Male,1,No,No,5,Yes,No,3420,Fiber optic,No,No,No,No,No,No,Month-to-month,ZDBMA,Yes,Mailed check,71.45,371.6,No
2212-LYASK,Male,0,Yes,Yes,27,No,No phone service,2212,DSL,No,Yes,Yes,No,No,Yes,One year,LYASK,Yes,Credit card (automatic),45.85,1246.4,No
1393-IMKZG,Female,0,No,No,1,Yes,No,1393,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,IMKZG,Yes,Electronic check,95.85,95.85,No
8069-RHUXK,Female,0,Yes,Yes,67,No,No phone service,8069,DSL,Yes,No,No,Yes,No,No,Two year,RHUXK,No,Credit card (automatic),35.7,2545.7,No
,Female,1,Yes,Yes,72,Yes,Yes,3398,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,GCPMU,Yes,Credit card (automatic),89.55,6448.85,No
2908-WGAXL,Female,0,Yes,Yes,56,Yes,Yes,2908,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,WGAXL,Yes,Credit card (automatic),24.95,1468.9,No
3378-AJRAO,Male,0,Yes,Yes,44,Yes,Yes,3378,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,AJRAO,No,Electronic check,24.85,1013.6,No
,Female,1,Yes,No,66,Yes,Yes,1013,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,QCWAM,Yes,Electronic check,100.8,6690.75,No
0866-QLSIR,Female,0,No,No,34,Yes,Yes,866,DSL,Yes,Yes,No,Yes,No,No,One year,QLSIR,Yes,Mailed check,64.4,2088.75,Yes
6050-FFXES,Female,0,Yes,No,69,Yes,Yes,6050,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,FFXES,No,Bank transfer (automatic),105.35,7240.65,No
,Female,0,Yes,Yes,1,Yes,Yes,7181,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,BQYBV,Yes,Electronic check,102.45,102.45,Yes
,Female,0,No,No,40,Yes,No,362,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,RAOQO,No,Credit card (automatic),19.65,830.25,No
,Male,0,Yes,Yes,30,Yes,Yes,9554,DSL,Yes,No,No,No,No,No,Month-to-month,DFKIC,Yes,Bank transfer (automatic),54.45,1588.7,No
,Female,0,No,No,11,Yes,No,5527,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,ACHSO,No,Mailed check,70.5,829.3,No
0829-DDVLK,Female,0,No,No,15,Yes,No,829,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,DDVLK,No,Credit card (automatic),20.1,302.45,No
1399-UBQIU,Male,0,No,No,11,Yes,No,1399,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,UBQIU,Yes,Electronic check,69.35,712.25,No
,Female,0,Yes,Yes,64,Yes,No,1813,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,JLKWR,No,Bank transfer (automatic),19.8,1336.65,No
0336-PIKEI,Male,1,Yes,No,72,Yes,No,336,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,PIKEI,No,Bank transfer (automatic),74.4,5360.75,No
,Male,1,Yes,No,72,Yes,Yes,7322,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,OCWHC,Yes,Bank transfer (automatic),93.05,6735.05,No
,Female,0,No,Yes,1,Yes,No,9537,DSL,Yes,No,No,No,No,No,Month-to-month,VHDTA,No,Mailed check,51.2,51.2,No
4957-TIALW,Female,0,No,Yes,15,Yes,No,4957,DSL,Yes,Yes,Yes,Yes,No,No,One year,TIALW,No,Credit card (automatic),65.6,1010,No
2054-PJOCK,Female,0,No,No,60,Yes,Yes,2054,DSL,No,No,Yes,Yes,Yes,Yes,One year,PJOCK,No,Credit card (automatic),80.55,4847.05,No
9150-HEPMB,Male,0,No,No,56,Yes,No,9150,DSL,Yes,No,Yes,No,No,No,One year,HEPMB,No,Mailed check,52.7,3019.7,No
9030-QGZNL,Female,0,No,No,8,Yes,No,9030,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,QGZNL,No,Mailed check,20.85,161.65,No
6204-IEUXJ,Female,0,No,No,3,Yes,No,6204,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,IEUXJ,No,Credit card (automatic),80.1,217.55,Yes
,Female,0,Yes,No,49,Yes,Yes,3126,DSL,No,No,No,No,No,No,Month-to-month,WQMGH,Yes,Credit card (automatic),52.15,2583.75,No
4529-CKBCL,Female,0,No,No,2,Yes,No,4529,Fiber optic,No,No,No,No,Yes,No,Month-to-month,CKBCL,Yes,Electronic check,80.2,146.05,Yes
,Female,0,No,No,6,Yes,No,2506,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,CLAKW,Yes,Bank transfer (automatic),98.15,567.45,Yes
,Male,0,No,No,70,Yes,Yes,7176,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,WRTNX,Yes,Bank transfer (automatic),114.95,7711.25,No
1583-IHQZE,Male,0,No,No,12,Yes,Yes,1583,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,IHQZE,Yes,Mailed check,112.95,1384.75,Yes
,Male,1,Yes,No,52,Yes,No,5732,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,IKGQH,Yes,Bank transfer (automatic),104.45,5481.25,No
,Female,0,Yes,No,72,Yes,Yes,9239,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,GZHZE,Yes,Credit card (automatic),113.65,8124.2,No
7205-BAIAD,Female,0,No,No,40,Yes,No,7205,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,BAIAD,Yes,Bank transfer (automatic),20.6,827.3,No
,Female,0,No,No,1,Yes,No,151,Fiber optic,No,No,No,No,No,No,Month-to-month,ONTOV,No,Mailed check,70.9,70.9,Yes
,Female,1,No,No,3,Yes,No,4140,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,MUHUG,Yes,Electronic check,86.85,220.95,Yes
0093-EXYQL,Female,1,No,No,40,Yes,No,93,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,EXYQL,Yes,Electronic check,91.55,3673.6,No
,Male,0,No,Yes,1,Yes,No,8064,DSL,No,No,Yes,No,No,No,Month-to-month,RAVOH,Yes,Electronic check,49.85,49.85,No
,Male,0,Yes,No,30,Yes,No,219,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,QAERP,No,Credit card (automatic),19.8,576.65,No
0320-JDNQG,Male,0,Yes,Yes,23,Yes,No,320,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,JDNQG,Yes,Electronic check,99.85,2331.3,Yes
7180-PISOG,Male,0,Yes,Yes,1,Yes,Yes,7180,Fiber optic,No,No,No,No,No,No,Month-to-month,PISOG,Yes,Electronic check,74.5,74.5,Yes
9168-INPSZ,Female,1,Yes,No,44,Yes,Yes,9168,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,INPSZ,No,Electronic check,104.15,4495.65,No
3571-RFHAR,Male,0,No,No,65,Yes,Yes,3571,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,RFHAR,Yes,Electronic check,109.15,6941.2,Yes
,Female,1,No,No,7,Yes,No,15,DSL,Yes,No,No,No,No,No,Month-to-month,UOCOJ,Yes,Electronic check,48.2,340.35,No
5334-AFQJB,Male,1,No,No,72,Yes,Yes,5334,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,AFQJB,Yes,Credit card (automatic),25.1,1789.9,No
,Female,1,No,No,8,Yes,Yes,2754,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,SDJRD,Yes,Credit card (automatic),100.15,908.55,No
,Female,0,No,No,16,Yes,Yes,9578,DSL,No,No,Yes,No,No,Yes,Month-to-month,VRMNM,Yes,Credit card (automatic),65.2,1043.35,Yes
1587-FKLZB,Male,1,Yes,Yes,66,Yes,Yes,1587,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,FKLZB,Yes,Credit card (automatic),99.5,6822.15,Yes
,Male,0,No,No,1,Yes,No,6140,Fiber optic,No,No,No,No,No,No,Month-to-month,QNRQQ,Yes,Mailed check,71.55,71.55,Yes
8963-JLGJT,Male,0,No,Yes,3,Yes,No,8963,DSL,Yes,No,Yes,No,No,No,Month-to-month,JLGJT,No,Mailed check,55.9,157.55,No
4307-KTUMW,Male,0,Yes,No,53,Yes,Yes,4307,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,KTUMW,No,Electronic check,93.9,5029.2,Yes
,Male,1,Yes,No,8,Yes,No,1465,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,LNTLJ,Yes,Credit card (automatic),64.4,581.7,No
5440-FLBQG,Male,1,Yes,No,69,Yes,Yes,5440,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,FLBQG,Yes,Bank transfer (automatic),108.4,7318.2,Yes
2135-DQWAQ,Female,0,No,No,5,Yes,No,2135,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,DQWAQ,Yes,Mailed check,85.3,420.45,No
,Female,0,Yes,Yes,72,Yes,Yes,4056,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,QHXHZ,No,Mailed check,107.45,7576.7,No
,Female,0,Yes,No,13,No,No phone service,7470,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,MCQTK,Yes,Bank transfer (automatic),48.75,633.4,Yes
,Female,0,No,No,4,Yes,Yes,7488,Fiber optic,No,No,No,No,Yes,No,Month-to-month,MXJIV,Yes,Electronic check,85.65,321.65,Yes
,Female,0,Yes,Yes,54,Yes,Yes,7401,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,JIXNM,No,Credit card (automatic),91.3,4965,No
9339-FIIJL,Male,0,Yes,No,72,Yes,Yes,9339,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,FIIJL,No,Bank transfer (automatic),85.95,6151.9,No
2027-FECZV,Male,0,No,No,12,Yes,Yes,2027,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,FECZV,Yes,Electronic check,106.7,1253.9,Yes
2672-DZUOY,Male,0,No,No,1,No,No phone service,2672,DSL,No,No,No,No,No,No,Month-to-month,DZUOY,Yes,Electronic check,25.15,25.15,Yes
4706-DGAHW,Male,1,No,No,1,Yes,No,4706,DSL,No,No,No,No,No,No,Month-to-month,DGAHW,No,Electronic check,45.2,45.2,No
3870-MQAMG,Female,0,Yes,No,54,Yes,Yes,3870,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,MQAMG,No,Electronic check,110.35,5893.15,Yes
,Male,0,Yes,Yes,69,Yes,Yes,6670,Fiber optic,No,No,Yes,No,No,No,Two year,MFRPK,Yes,Credit card (automatic),79.2,5420.65,No
,Female,0,No,No,48,Yes,No,6177,DSL,Yes,Yes,No,No,No,No,Two year,PEVRA,No,Credit card (automatic),55.5,2627.35,No
4800-CZMPC,Female,0,Yes,Yes,48,Yes,Yes,4800,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,CZMPC,Yes,Credit card (automatic),103.25,5037.55,Yes
4813-HQMGZ,Female,0,Yes,No,8,Yes,Yes,4813,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,HQMGZ,Yes,Electronic check,90.25,743.75,No
7579-KKLOE,Male,0,Yes,Yes,71,Yes,Yes,7579,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,KKLOE,Yes,Mailed check,91.25,6589.6,No
7377-DMMRI,Male,0,No,No,2,Yes,No,7377,DSL,Yes,No,No,No,No,No,Month-to-month,DMMRI,Yes,Electronic check,47.8,92.45,Yes
,Male,0,Yes,No,67,Yes,No,8402,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,EIVQS,Yes,Credit card (automatic),100.9,6733.15,No
4947-DSMXK,Male,0,Yes,Yes,34,Yes,Yes,4947,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,DSMXK,Yes,Bank transfer (automatic),97.7,3410,No
7245-NIIWQ,Female,0,No,No,3,Yes,No,7245,Fiber optic,No,No,No,No,No,No,Month-to-month,NIIWQ,Yes,Electronic check,69.85,199.85,No
0002-ORFBO,Female,0,Yes,Yes,9,Yes,No,2,DSL,No,Yes,No,Yes,Yes,No,One year,ORFBO,Yes,Mailed check,65.6,593.3,No
3324-OIRTO,Male,0,Yes,Yes,71,Yes,No,3324,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,OIRTO,Yes,Bank transfer (automatic),104.65,7288.4,No
5414-OFQCB,Male,0,No,No,57,Yes,Yes,5414,Fiber optic,No,No,No,Yes,Yes,No,Two year,OFQCB,Yes,Credit card (automatic),90.45,5229.8,No
4967-WPNCF,Male,0,No,No,72,No,No phone service,4967,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,WPNCF,Yes,Bank transfer (automatic),63.7,4464.8,No
8552-OBVRU,Female,1,Yes,Yes,48,Yes,No,8552,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,OBVRU,Yes,Electronic check,104.5,5068.05,No
,Male,0,No,No,18,Yes,No,8499,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,BRXTD,No,Mailed check,20.1,401.85,No
9154-QDGTH,Male,0,Yes,Yes,43,Yes,Yes,9154,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,QDGTH,Yes,Credit card (automatic),104.3,4451.85,No
8197-BFWVU,Female,0,Yes,Yes,72,Yes,Yes,8197,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,BFWVU,Yes,Bank transfer (automatic),93.25,6688.95,No
,Male,0,Yes,Yes,35,Yes,Yes,2577,DSL,No,No,No,Yes,Yes,Yes,One year,GVSIL,Yes,Bank transfer (automatic),73.45,2661.1,No
,Male,0,No,No,4,Yes,No,9367,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,OIUXP,No,Mailed check,20.7,73.05,No
,Female,0,Yes,Yes,49,Yes,Yes,6770,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,UAYGJ,No,Mailed check,25.25,1211.65,No
6463-HHXJR,Female,0,Yes,Yes,71,Yes,Yes,6463,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,HHXJR,No,Bank transfer (automatic),100.5,7030.65,No
,Male,0,Yes,Yes,11,Yes,No,7928,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,VJYAB,No,Electronic check,90.6,1020.2,No
,Male,0,Yes,Yes,63,Yes,Yes,1187,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,WILMM,Yes,Credit card (automatic),89.4,5597.65,No
9776-OJUZI,Female,1,No,No,65,Yes,Yes,9776,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,OJUZI,Yes,Bank transfer (automatic),95.45,6223.3,No
,Female,0,No,Yes,49,Yes,No,1306,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,RPWXZ,No,Credit card (automatic),20.45,1024.65,No
,Female,0,No,No,29,Yes,Yes,8949,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,JTMAY,Yes,Credit card (automatic),98.6,2933.2,Yes
,Female,1,Yes,No,15,Yes,Yes,2774,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,LVQUS,Yes,Electronic check,83.05,1258.3,Yes
,Female,0,Yes,Yes,4,Yes,No,3097,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,PYWXL,Yes,Electronic check,19.95,82.9,No
2266-SJNAT,Female,0,Yes,No,72,Yes,Yes,2266,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,SJNAT,No,Credit card (automatic),109.15,7789.6,No
0869-PAPRP,Female,1,Yes,No,26,Yes,No,869,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,PAPRP,Yes,Credit card (automatic),85.7,2067,No
,Female,1,Yes,No,35,Yes,Yes,4238,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,JSSWH,No,Bank transfer (automatic),102.05,3452.55,No
,Female,0,No,No,57,Yes,Yes,2972,Fiber optic,No,Yes,No,Yes,No,Yes,One year,YDYUW,No,Electronic check,94.7,5468.95,No
1104-FEJAM,Male,0,Yes,Yes,28,Yes,Yes,1104,DSL,No,Yes,No,No,No,Yes,Month-to-month,FEJAM,No,Electronic check,64.4,1802.15,No
2809-ILCYT,Female,0,Yes,No,25,Yes,Yes,2809,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,ILCYT,Yes,Mailed check,26.8,733.55,No
5499-ECUTN,Female,0,Yes,No,47,Yes,No,5499,DSL,Yes,No,Yes,No,Yes,No,One year,ECUTN,Yes,Credit card (automatic),66.05,3021.45,No
,Female,0,Yes,Yes,57,Yes,Yes,4981,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,FLTMF,No,Bank transfer (automatic),65.2,3687.85,No
9121-PHQSR,Male,1,Yes,No,16,Yes,Yes,9121,Fiber optic,No,No,No,No,Yes,No,Month-to-month,PHQSR,Yes,Credit card (automatic),85.05,1391.15,No
,Male,0,No,No,5,Yes,No,3113,DSL,Yes,No,Yes,No,No,No,Month-to-month,IWHLC,Yes,Mailed check,55.8,274.35,No
,Male,0,Yes,No,17,Yes,No,3211,Fiber optic,No,No,No,No,No,No,Month-to-month,ILJTT,Yes,Bank transfer (automatic),70.4,1214.05,Yes
,Female,1,No,No,56,Yes,Yes,4612,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,THJBS,Yes,Bank transfer (automatic),104.75,5510.65,Yes
,Male,0,Yes,Yes,72,Yes,No,4277,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,BWBML,No,Bank transfer (automatic),19.95,1322.85,No
,Female,1,No,No,21,Yes,Yes,4094,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,NSEDU,Yes,Electronic check,94.25,1973.75,Yes
,Female,0,Yes,Yes,48,No,No phone service,234,DSL,Yes,No,Yes,No,No,Yes,One year,TEVTT,No,Credit card (automatic),45,2196.3,No
4304-TSPVK,Female,0,Yes,No,68,Yes,Yes,4304,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,TSPVK,No,Bank transfer (automatic),114.9,7843.55,No
,Female,0,No,No,30,Yes,Yes,1552,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,AAGRX,No,Bank transfer (automatic),106.4,3211.9,No
,Female,0,Yes,No,3,Yes,No,2637,DSL,No,No,No,No,No,No,Month-to-month,FKFSY,Yes,Mailed check,46.1,130.15,No
9796-MVYXX,Female,1,No,No,14,No,No phone service,9796,DSL,Yes,No,Yes,Yes,No,No,Two year,MVYXX,No,Mailed check,39.7,692.35,No
7874-ECPQJ,Female,0,No,Yes,4,Yes,No,7874,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,ECPQJ,Yes,Bank transfer (automatic),20.05,85.5,No
0020-INWCK,Female,0,Yes,Yes,71,Yes,Yes,20,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,INWCK,Yes,Credit card (automatic),95.75,6849.4,No
7089-RKVSZ,Male,0,Yes,Yes,8,Yes,Yes,7089,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,RKVSZ,No,Mailed check,24.4,203.95,No
2683-JXWQQ,Male,0,Yes,Yes,61,No,No phone service,2683,DSL,Yes,No,Yes,No,No,No,Month-to-month,JXWQQ,No,Bank transfer (automatic),33.6,2117.2,No
9548-ZMVTX,Male,0,Yes,Yes,72,Yes,Yes,9548,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,ZMVTX,No,Bank transfer (automatic),90.45,6565.85,No
,Female,0,No,No,5,Yes,Yes,8739,Fiber optic,No,No,No,No,Yes,No,Month-to-month,XNIKG,Yes,Electronic check,84,424.75,No
9755-JHNMN,Female,0,No,No,49,Yes,No,9755,DSL,Yes,Yes,Yes,Yes,No,No,Two year,JHNMN,No,Bank transfer (automatic),67.4,3306.85,No
3981-QSVQI,Male,0,No,No,8,Yes,No,3981,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,QSVQI,Yes,Bank transfer (automatic),19.7,168.9,No
